Fiscal Year,Country/Territory,Category, Quantity , Defense Articles and Services Authorized Value , Shipped Value , Services Authorized ,
2012,Taiwan,XV," 1,884 "," 6,808,547 ",,,
2012,Taiwan,XVI, 2 ," 10,520 ",,,
2011,Taiwan,Total,,,,,
2011,,,,,,,
2011,Taiwan,I,,,,,
2011,Taiwan,II,,,,,
2011,Taiwan,III,,,,,
2011,Taiwan,IV,,,,,
2011,Taiwan,V,,,,,
2011,Taiwan,VI,,,,,
2011,Taiwan,VII,,,,,
2011,Taiwan,VIII,,,,,
2011,Taiwan,IX,,,,,
2011,Taiwan,X,,,,,
2011,Taiwan,XI,,,,,
2011,Taiwan,XII,,,,,
2011,Taiwan,XIII,,,,,
2011,Taiwan,XIV,,,,,
2011,Taiwan,XV,,,,,
2011,Taiwan,XVI,,,,,
2010,Taiwan,Total," 379,269 "," 311,249,894 "," 104,922,695 "," 872,189,187 ",
2010,Taiwan,I," 3,683 "," 522,440 ",,,
2010,Taiwan,II, 30 ," 2,210 ",,,
2010,Taiwan,III," 65,711 "," 1,145,318 ",,,
2010,Taiwan,IV," 47,801 "," 838,791 ",,,
2010,Taiwan,VI," 13,755 "," 3,616,783 ",,,
2010,Taiwan,VII," 8,713 "," 1,231,717 ",,,
2010,Taiwan,VIII," 62,309 "," 143,210,280 ",,,
2010,Taiwan,IX," 1,726 "," 15,660,412 ",,,
2010,Taiwan,X, 107 ," 7,050 ",,,
2010,Taiwan,XI," 172,762 "," 136,365,324 ",,,
2010,Taiwan,XII, 766 ," 2,437,193 ",,,
2010,Taiwan,XIII, 500 ," 2,717,403 ",,,
2010,Taiwan,XIV, 10 ," 13,183 ",,,
2010,Taiwan,XV," 1,393 "," 3,481,523 ",,,
2010,Taiwan,XX, 3 , 267 ,,,
2009,Taiwan,Total," 8,663,689 "," 238,126,652 ",,,
2009,,," 8,663,689 "," 238,128,652 ", I think THEY added wrong ,,
2009,Taiwan,I ," 1,947 "," 1,129,596 ",,,
2009,Taiwan,II, 8 ," 49,592 ",,,
2009,Taiwan,III," 8,227,914 "," 23,019,748 ",,,
2009,Taiwan,IV," 45,394 "," 3,065,974 ",,,
2009,Taiwan,V, 25 ," 2,600 ",,,
2009,Taiwan,VI," 1,830 "," 324,018 ",,,
2009,Taiwan,VII," 11,753 "," 1,306,773 ",,,
2009,Taiwan,VIII," 80,012 "," 95,119,087 ",,,
2009,Taiwan,IX, 464 ," 1,567,471 ",,,
2009,Taiwan,X, 779 ," 29,810 ",,,
2009,Taiwan,XI," 291,879 "," 109,467,490 ",,,
2009,Taiwan,XII, 654 ," 1,142,266 ",,,
2009,Taiwan,XIII, 986 ," 144,803 ",,,
2009,Taiwan,XIV, 8 ," 97,697 ",,,
2009,Taiwan,XV, 36 ," 1,661,727 ",,,
2008,Taiwan,Total," 1,217,610 "," 363,776,567 "," 363,776,000 ",,
2008,Taiwan,I," 8,784 "," 404,896 ",,,
2008,Taiwan,II," 1,001 "," 1,100 ",,,
2008,Taiwan,III," 861,702 "," 13,893,417 ",,,
2008,Taiwan,IV," 40,026 "," 1,807,141 ",,,
2008,Taiwan,V," 9,001 "," 132,400 ",,,
2008,Taiwan,VI, 724 ," 162,577 ",,,
2008,Taiwan,VII," 5,734 "," 1,106,974 ",,,
2008,Taiwan,VIII," 198,344 "," 298,056,975 ",,,
2008,Taiwan,IX, 732 ," 2,813,416 ",,,
2008,Taiwan,X," 2,024 "," 85,682 ",,,
2008,Taiwan,XI," 76,752 "," 33,589,906 ",,,
2008,Taiwan,XII," 2,239 "," 3,109,687 ",,,
2008,Taiwan,XIII," 1,710 "," 966,385 ",,,
2008,Taiwan,XIV," 8,800 "," 1,016,120 ",,,
2008,Taiwan,XV, 35 ," 6,627,641 ",,,
2008,Taiwan,XX, 2 ," 2,250 ",,,
2007,Taiwan,Total," 274,501,040 "," 643,835,110 ",,,
2007,Taiwan,I," 3,539 "," 393,832 ",,,
2007,Taiwan,II, 36 ," 48,618 ",,,
2007,Taiwan,III," 273,483,881 "," 8,766,074 ",,,
2007,Taiwan,IV," 8,881 "," 3,764,036 ",,,
2007,Taiwan,V," 789,273 "," 5,118,367 ",,,
2007,Taiwan,VI, 804 ," 40,170,935 ",,,
2007,Taiwan,VII," 6,764 "," 434,463 ",,,
2007,Taiwan,VIII," 165,850 "," 157,115,809 ",,,
2007,Taiwan,IX, 727 ," 3,602,266 ",,,
2007,Taiwan,X, 800 ," 201,607 ",,,
2007,Taiwan,XI," 39,090 "," 415,542,721 ",,,
2007,Taiwan,XII, 276 ," 1,464,236 ",,,
2007,Taiwan,XIII, 125 ," 1,979,741 ",,,
2007,Taiwan,XIV, 693 ," 13,052 ",,,
2007,Taiwan,XV, 300 ," 5,218,353 ",,,
2007,Taiwan,XXI, 1 ," 1,000 ",,,
2006,Taiwan,Total,," 5,322,304 ",,,
2005,Taiwan,Total,," 19,698,938 ",,,
2004,Taiwan,Total,," 34,310,126 ",,,
2003,Taiwan,Total,," 9,787,967 ",,,
2002,Taiwan,Total,," 134,863,947 ",,,
2001,Taiwan,Total,," 29,156,498 ",,,
2000,Taiwan,Total,," 15,393,280 ",,,
1999,Taiwan,Total,," 15,457,368 ",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
