Fiscal Year,Security Aid
2015,"$23,952,760 "
2014,"$408,254 "
2013,"$783,638 "
2012,"$606,805 "
2011,"$825,977 "
2010,"$725,020 "
2009,"$723,896 "
2008,"$781,894 "
2007,"$857,546 "
2006,"$617,034 "
2005,"$320,000 "
2004,"$897,788 "
2003,"$308,909 "
2002,"$100,383 "
2001,"$30,000 "
2000,"$70,000 "
